id;fid;oid;name;baum;status;x_epsg25833;y_epsg25833;altitude
1;1101;2205;Grunewald;GKI;1;379439;5815141;54
2;1102;0;Grunewald;GKI;0;379552;5815038;50
3;1103;0;Koepenick;GKI;0;405840;5810046;50
4;1201;0;Natteheide;GKI;0;327769;5886735;74
5;1202;2208;Beerenbusch;GKI;1;363840;5889341;79
6;1203;2209;Kienhorst ;GKI;1;408804;5870157;70
7;1204;2210;Weitzgrund;GKI;1;333207;5785190;105
8;1205;2211;Neusorgefeld;GKI;1;401051;5739433;133
9;1206;2212;Schwenow;GKI;0;432169;5776917;68
10;1207;3056;Beerenbusch;RBU;1;365515;5891157;90
11;1208;2214;Fuenfeichen;TEI;1;465560;5779519;124
12;1209;2425;Kienhorst;TEI;0;411211;5867751;70
